Gene name,Mouse gene name,Saccharomyces cerevisiae gene name,Drosophila melanogaster - (Fruit fly) gene name
MT-TF,,,
MT-RNR1,,,
MT-TV,,,
MT-RNR2,,,
MT-TL1,,,
MT-ND1,mt-Nd1,,mt:ND1
MT-TI,,,
MT-TQ,,,
MT-TM,,,
MT-ND2,mt-Nd2,,mt:ND2
MT-TW,,,
MT-TA,,,
MT-TN,,,
MT-TC,,,
MT-TY,,,
MT-CO1,mt-Co1,AI4,mt:CoI
MT-CO1,mt-Co1,AI5_ALPHA,mt:CoI
MT-CO1,mt-Co1,COX1,mt:CoI
MT-TS1,,,
MT-TD,,,
MT-CO2,mt-Co2,COX2,mt:CoII
MT-TK,,,
MT-ATP8,mt-Atp8,,
MT-ATP6,mt-Atp6,ATP6,mt:ATPase6
MT-CO3,mt-Co3,COX3,mt:CoIII
MT-TG,,,
MT-ND3,mt-Nd3,,mt:ND3
MT-TR,,,
MT-ND4L,mt-Nd4l,,
MT-ND4,mt-Nd4,,mt:ND4
MT-TH,,,
MT-TS2,,,
MT-TL2,,,
MT-ND5,mt-Nd5,,mt:ND5
MT-ND6,mt-Nd6,,
MT-TE,,,
MT-CYB,mt-Cytb,BI3,mt:Cyt-b
MT-CYB,mt-Cytb,BI2,mt:Cyt-b
MT-CYB,mt-Cytb,BI4,mt:Cyt-b
MT-CYB,mt-Cytb,COB,mt:Cyt-b
MT-TT,,,
MT-TP,,,
,,,
5S_rRNA,,,
U6,Gm22279,,
U6,Gm54642,,
5_8S_rRNA,Gm54867,,
5_8S_rRNA,Gm55073,,
RNA5-8SN5,,,
5_8S_rRNA,,,
,Prodh,PUT1,slgA
,Dgcr6,,gdl
U6,,,
Y_RNA,,,
U1,,,
MAFIP,Tekt4,,Tektin-A
U2,Gm23788,,
,Gm56421,,
,Mrpl23,MRP20,mRpL23
,Gm56420,,
RNA5-8SN4,,,
,Slc6a8,,
U1,Gm25115,,
,Frg1,,FRG1
RNU1-62P,,,
MTCO3P47,,,
RNA5SP136,,,
RYBP,,,
GCGR,,,
RPL23AP45,,,
MCRIP1,,,
RNU6-409P,,,
ACR,,,
C8orf33,,,
SNRPA1P2,,,
LINC01784,,,
SHANK3,,,
PRAMEF11,,,
PRAMEF30P,,,
HNRNPCL1,,,
PRAMEF2,,,
PRAMEF4,,,
PRAMEF10,,,
PRAMEF7,,,
RNU6-1072P,,,
PRAMEF29P,,,
PRAMEF6,,,
PPP1R27,,,
PRAMEF28P,,,
PRAMEF27,,,
HNRNPCL3,,,
PRAMEF25,,,
PRAMEF34P,,,
PRAMEF35P,,,
LINC02688,,,
HNRNPCL2,,,
MUC5AC,,,
PRAMEF36P,,,
MUC2,,,
PRAMEF26,,,
HNRNPCL4,,,
PRAMEF9,,,
PRAMEF13,,,
PRAMEF18,,,
PRAMEF31P,,,
PRAMEF5,,,
PRAMEF32P,,,
RNU6-771P,,,
PRAMEF8,,,
PRAMEF33,,,
PRAMEF22,,,
CNTNAP3C,,,
RN7SL462P,,,
OR9G1,,,
OR9G9,,,
OR9G3P,,,
OR9G4,,,
OR9G2P,,,
OR5G1P,,,
BCL2L14,,,
OR5G4P,,,
OR5G5P,,,
OR5G3,,,
LINC02735,,,
PTMAP9,,,
MIR1244-4,,,
LRP6,,,
SYT15B,,,
NPY4R2,,,
FAM25C,,,
AGAP12P,,,
RNA5SP315,,,
BMS1P7,,,
TOLLIP,,,
TOLLIP-DT,,,
LINC02689,,,
BRSK2,,,
RPL21P100,,,
RNU6-545P,,,
RNU6-318P,,,
MANSC1,,,
DUSP8,,,
KRTAP5-AS1,,,
RPL23AP66,,,
KRTAP5-1,,,
LOH12CR2,,,
KRTAP5-2,,,
KRTAP5-3,,,
KRTAP5-4,,,
KRTAP5-5,,,
BORCS5,,,
FAM99A,,,
FAM99B,,,
LINC02708,,,
MOB2,,,
DUSP16,,,
HMX1,,,
RBMY3AP,,,
CDY3P,,,
TSPY25P,,,
USP9YP22,,,
TSPY16P,,,
USP9YP4,,,
ELOCP4,,,
RBMY1A3P,,,
LINC03015,,,
TTTY20,,,
TSPY8,,,
FAM197Y7,,,
TSPY4,,,
